rank,feature,abs_coef
296,num__contacts_total_tickets_trend_slope_8w,0.02013654264783115
297,num__avg_sp_distance_google_trend_slope_8w,0.01927751372667457
298,num__at_customer_time_in_minutes_W1,0.018995445494005413
299,num__contacts_total_tickets_per_order_W4,0.018476507245282037
300,num__compliance_total_violations_per_order_wow_delta_W0_W1,0.018312897469279676
301,num__perc_reas_W3,0.018084570215800885
302,num__compliance_total_violations_per_order_W0,0.018052973832624514
303,num__cdt_W0,0.017897840451097966
304,num__at_customer_time_in_minutes_wow_delta_W4_W5,0.01733440088811048
305,num__avg_pd_distance_google_wow_delta_W1_W2,0.01726425178972388
306,num__perc_stacking_wow_delta_W5_W6,0.01713325744841444
307,num__at_customer_time_in_minutes_W4,0.016879450320998066
308,num__at_vendor_time_in_minutes_wow_delta_W2_W3,0.016593472024996524
309,num__avg_sp_distance_google_W0,0.015285294625365268
310,num__avg_sp_distance_google_wow_delta_W4_W5,0.015148743362340344
311,num__perc_reas_trend_slope_8w,0.015025899848785685
312,num__contacts_total_tickets_wow_delta_W1_W2,0.014384503418341984
313,num__total_bw_orders_W5,0.014152014420057292
314,num__avg_pd_distance_google_wow_delta_W0_W1,0.014105472553131939
315,num__avg_sp_distance_google_wow_delta_W1_W2,0.013921561458984542
316,num__total_bw_orders_per_order_trend_slope_8w,0.013902993471389076
317,num__at_customer_time_in_minutes_W3,0.013889136497121696
318,num__contacts_total_tickets_per_order_W0,0.013437519758121215
319,num__perc_reas_W2,0.013311736738427664
320,num__cdt_W2,0.013223378056670574
321,num__compliance_total_violations_per_order_W3,0.013201512466942391
322,num__contacts_total_tickets_W2,0.013155331352669003
323,num__perc_stacking_W4,0.013005941690123117
324,num__avg_sat_score_W3,0.012943797748782423
325,num__total_earnings_W3,0.012692760048435354
326,num__avg_pd_distance_google_wow_delta_W5_W6,0.012624048886732195
327,num__no_shows_per_order_W0,0.011957934885068272
328,num__avg_sat_score_wow_delta_W2_W3,0.011873115887564862
329,num__at_vendor_time_in_minutes_W5,0.011818320473630671
330,num__at_vendor_time_in_minutes_wow_delta_W1_W2,0.011759433886216308
331,num__total_bw_orders_trend_slope_8w,0.011616892474786642
332,num__at_vendor_time_in_minutes_wow_delta_W0_W1,0.011412660383238583
333,num__compliance_total_violations_per_order_wow_delta_W1_W2,0.01138939268126279
334,num__contacts_total_tickets_W3,0.011119574915973615
335,num__contacts_total_tickets_per_order_trend_slope_8w,0.011056597819225604
336,num__perc_stacking_wow_delta_W3_W4,0.011025762395170065
337,num__batch_number_W6,0.01054672041749511
338,num__avg_sat_score_wow_delta_W3_W4,0.010378220873465835
339,num__total_earnings_wow_delta_W5_W6,0.010271187773010657
340,num__avg_sp_distance_google_wow_delta_W3_W4,0.010126478184435083
341,num__at_customer_time_in_minutes_wow_delta_W2_W3,0.009801388442710942
342,num__total_orders_cpo_W2,0.00980007754478997
343,num__total_orders_cpo_trend_slope_8w,0.009659632325495967
344,num__avg_pd_distance_google_W4,0.009398886619728056
345,num__perc_reas_wow_delta_W3_W4,0.00927471866512216
346,num__avg_sat_score_trend_slope_8w,0.009182630902812577
347,num__compliance_total_violations_wow_delta_W0_W1,0.0090510184868463
348,num__at_customer_time_in_minutes_wow_delta_W5_W6,0.008826276279007813
349,num__compliance_distinct_violation_types_wow_delta_W5_W6,0.008510599734478947
350,num__perc_reas_wow_delta_W2_W3,0.008361137102375621
351,num__perc_stacking_wow_delta_W2_W3,0.008263022730893053
352,num__contacts_total_tickets_wow_delta_W3_W4,0.008258915527563197
353,num__avg_sp_distance_google_W4,0.00817498252607682
354,num__cdt_W1,0.0077604261236969155
355,num__compliance_distinct_violation_types_W2,0.007473242861917716
356,num__compliance_total_violations_trend_slope_8w,0.007156362535402105
357,num__contacts_total_tickets_per_order_W1,0.007144987043414285
358,num__avg_sat_score_W0,0.0070389937231318395
359,num__total_bw_orders_per_order_W2,0.006787905081584623
360,num__avg_sat_score_W1,0.00677034620316917
